DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
STARBUCKS,BROOKLYN,134,"MONTAGUE STREET",11201,"134 MONTAGUE STREET",08/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.69458,-73.993962,1,rooftop,134,"Montague St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
SMOOCH,BROOKLYN,266,"CARLTON AVENUE",11205,"266 CARLTON AVENUE",08/09/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",4,A,40.689822,-73.972324,1,rooftop,266,"Carlton Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"KUNG FU TEA",BROOKLYN,806,"55TH ST",11220,"806 55TH ST",01/30/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.638017,-74.006361,1,rooftop,806,"55th St",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"CAFE CAGGIANO",BROOKLYN,209,"AVENUE U",11223,"209 AVENUE U",09/25/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,A,40.596773,-73.976256,1,rooftop,209,"Ave U",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"GRADE COFFEE",BROOKLYN,101,"N 8TH ST",11249,"101 N 8TH ST",01/30/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.719769,-73.959137,1,rooftop,101,"N 8th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
ELK,BROOKLYN,154,"PROSPECT PARK SW",11218,"154 PROSPECT PARK SW",12/29/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.654939,-73.973526,1,rooftop,154,"Prospect Park SW",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",04/25/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"THE SWALLOW CAFE & ESPRESSO BAR",BROOKLYN,49,"BOGART STREET",11206,"49 BOGART STREET",05/26/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.705301,-73.933425,1,rooftop,49,"Bogart St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"ABSOLUTE COFFEE",BROOKLYN,327,"ATLANTIC AVE",11201,"327 ATLANTIC AVE",05/17/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.688182,-73.987624,1,rooftop,327,"Atlantic Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"GRADE COFFEE",BROOKLYN,101,"N 8TH ST",11249,"101 N 8TH ST",01/30/18,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",4,A,40.719769,-73.959137,1,rooftop,101,"N 8th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
STARBUCKS,BROOKLYN,167,"COURT STREET",11201,"167 COURT STREET",07/06/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.688506,-73.992618,1,rooftop,167,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"KOS KAFFE",BROOKLYN,251,"5 AVENUE",11215,"251 5 AVENUE",08/10/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,40.674752,-73.981466,1,rooftop,251,"5th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"WORD UP CAFE",BROOKLYN,652,"PENNSYLVANIA AVE",11207,"652 PENNSYLVANIA AVE",01/10/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.6613,-73.892866,1,rooftop,652,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
PITANGA,BROOKLYN,207,"STARR ST",11237,"207 STARR ST",02/05/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.705021,-73.923368,1,rooftop,207,"Starr St",Brooklyn,NY,"Kings County",11237,US,"City of New York"
PITANGA,BROOKLYN,207,"STARR ST",11237,"207 STARR ST",02/05/18,09C,"Food contact surface not properly maintained.","Not Critical",5,A,40.705021,-73.923368,1,rooftop,207,"Starr St",Brooklyn,NY,"Kings County",11237,US,"City of New York"
STARBUCKS,BROOKLYN,6423,"18 AVENUE",11204,"6423 18 AVENUE",06/12/17,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",5,A,40.619193,-73.989926,1,rooftop,6423,"18th Ave",Brooklyn,NY,"Kings County",11204,US,"City of New York"
"GOOSE BARNACLE",BROOKLYN,91,"ATLANTIC AVE",11201,"91 ATLANTIC AVE",12/13/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.691195,-73.997236,1,rooftop,91,"Atlantic Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"CAFE GRUMPY",BROOKLYN,193,"MESEROLE AVENUE",11222,"193 MESEROLE AVENUE",10/04/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.728537,-73.948657,1,rooftop,193,"Meserole Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"BLUE BOTTLE COFFEE",BROOKLYN,76,"N 4TH ST",11249,"76 N 4TH ST",12/04/17,06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,5,A,40.717405,-73.96168,1,rooftop,76,"N 4th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/26/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,356,"MCGUINNESS BOULEVARD",11222,"356 MCGUINNESS BOULEVARD",01/18/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.734808,-73.952178,0.9,rooftop,356,"Mc Guinness Blvd",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"OFF TO START CAFE",BROOKLYN,535,"6TH AVE",11215,"535 6TH AVE",10/30/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,40.66482,-73.98644,1,rooftop,535,"6th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BK BAGELS",BROOKLYN,1120,BROADWAY,11221,"1120 BROADWAY",01/12/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.693694,-73.929706,1,rooftop,1120,Broadway,Brooklyn,NY,"Kings County",11221,US,"City of New York"
Cream,BROOKLYN,7210,"3RD AVE",11209,"7210 3RD AVE",05/11/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.633229,-74.027233,1,rooftop,7210,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"ANCHOR COFFEE",BROOKLYN,525,"THROOP AVE",11221,"525 THROOP AVE",10/26/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.68408,-73.941023,1,rooftop,525,"Throop Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
DEVOCION,BROOKLYN,69,"GRAND ST",11249,"69 GRAND ST",01/16/18,09C,"Food contact surface not properly maintained.","Not Critical",5,A,40.695385,-73.964232,1,rooftop,69,"Grand Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"DUNKIN DONUTS",BROOKLYN,1092,"ROGERS AVE",11226,"1092 ROGERS AVE",10/25/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.643434,-73.952041,1,rooftop,1092,"Rogers Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"KUNG FU TEA",BROOKLYN,1422,"AVENUE U",11229,"1422 AVENUE U",06/07/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.598692,-73.956557,1,rooftop,1422,"Ave U",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"WORD UP CAFE",BROOKLYN,652,"PENNSYLVANIA AVE",11207,"652 PENNSYLVANIA AVE",01/10/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",5,A,40.6613,-73.892866,1,rooftop,652,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"GIVING COFFEE",BROOKLYN,210,"41ST ST",11232,"210 41ST ST",04/20/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,40.653819,-74.011446,1,rooftop,210,"41st St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"STARLINER CAFE AND MARKET",BROOKLYN,1206,"NOSTRAND AVE",11225,"1206 NOSTRAND AVE",08/02/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.657938,-73.950494,1,rooftop,1206,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
DEVOCION,BROOKLYN,69,"GRAND ST",11249,"69 GRAND ST",01/16/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.695385,-73.964232,1,rooftop,69,"Grand Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
STARBUCKS,BROOKLYN,6423,"18 AVENUE",11204,"6423 18 AVENUE",06/12/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.619193,-73.989926,1,rooftop,6423,"18th Ave",Brooklyn,NY,"Kings County",11204,US,"City of New York"
"MILLIES CUBAN CAFE",BROOKLYN,203,"WILSON AVE",11237,"203 WILSON AVE",08/30/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,40.699176,-73.922801,1,range_interpolation,203,"Wilson Ave",Brooklyn,NY,"Kings County",11237,US,"TIGER/Line® dataset from the US Census Bureau"
"THE FLYING LOBSTER",BROOKLYN,144,"UNION STREET",11231,"144 UNION STREET",09/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.683955,-74.001804,1,rooftop,144,"Union St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,1700,"CHURCH AVENUE",11226,"1700 CHURCH AVENUE",10/25/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",5,A,40.64901,-73.96386,1,rooftop,1700,"Church Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"STARBUCKS COFFEE #22596",BROOKLYN,154,"N 7TH ST",11249,"154 N 7TH ST",07/21/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",5,A,40.718052,-73.958281,1,rooftop,154,"N 7th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"BEARCAT COFFEE & BAR",BROOKLYN,150,"MANHATTAN AVE",11206,"150 MANHATTAN AVE",05/02/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,40.799083,-73.960975,1,rooftop,150,"Manhattan Ave","New York",NY,"New York County",10025,US,"City of New York"
"BOHAUS COFFEE  AND FLOWERS",BROOKLYN,406,"MARCUS GARVEY BLVD",11216,"406 MARCUS GARVEY BLVD",04/12/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,40.682957,-73.938174,1,rooftop,406,"Marcus Garvey Blvd",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,1903,"KINGS HIGHWAY",11229,"1903 KINGS HIGHWAY",05/04/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,A,40.600988,-73.939998,0.33,place,,,Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
